date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:13	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000858-15da%22	https://sigony.com/wp-content/plugins/salient-portfolio/js/third-party/imagesLoaded.min.js?ver=4.1.4	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/salient-portfolio/js/third-party/imagesLoaded.mineda1.js	(from https://sigony.com/)
20:01:14	2245/2245	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-8c5%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/hoverintent.min.js?ver=1.9	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/hoverintent.min3aa8.js	(from https://sigony.com/)
20:01:14	68855/68855	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-10cf7%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/jquery.fancybox.js?ver=3.3.9	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/jquery.fancybox7558.js	(from https://sigony.com/)
20:01:14	17741/17741	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-454d%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/anime.min.js?ver=4.5.1	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/anime.min8686.js	(from https://sigony.com/)
20:01:14	5725/5725	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-165d%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/superfish.js?ver=1.5.8	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/superfish0322.js	(from https://sigony.com/)
20:01:15	379152/379152	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-5c910%22	https://sigony.com/wp-content/themes/salient/js/build/init.js?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/initd8c7.js	(from https://sigony.com/)
20:01:15	4658/4658	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-1232%22	https://sigony.com/wp-content/themes/salient/js/build/elements/nectar-fit-text.js?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/elements/nectar-fit-textd8c7.js	(from https://sigony.com/)
20:01:15	14186/14186	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-376a%22	https://sigony.com/wp-content/themes/salient/js/build/nectar-smooth-scroll.js?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/nectar-smooth-scrolld8c7.js	(from https://sigony.com/)
20:01:15	9375/9375	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000858-249f%22	https://sigony.com/wp-content/plugins/salient-core/js/third-party/touchswipe.min.js?ver=1.0	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/salient-core/js/third-party/touchswipe.min5152.js	(from https://sigony.com/)
20:01:16	7477/7477	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677e92b0-1d35%22	https://sigony.com/wp-content/plugins/breeze/assets/js/js-front-end/breeze-lazy-load.min.js?ver=2.2.1	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/breeze/assets/js/js-front-end/breeze-lazy-load.min77e6.js	(from https://sigony.com/)
